,CodigoDistribuidor,Mes,CodigoFecha,Ventas,Ventas_acumuladas,Ventas_last_1,Ventas_acumuladas_last_1,Ventas_last_2,Ventas_acumuladas_last_2,Ventas_last_3,Ventas_acumuladas_last_3,Ventas_last_4,Ventas_acumuladas_last_4,Ventas_last_5,Ventas_acumuladas_last_5,Ventas_last_6,Ventas_acumuladas_last_6,Ventas_last_7,Ventas_acumuladas_last_7,Day
3771,CHINCHA.01.67882,4,2020-04-03,19642.024,55794.84390000001,17430.6874,36152.8199,18722.1325,18722.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
3772,CHINCHA.01.67882,4,2020-04-04,31913.7939,87708.63780000001,19642.024,55794.84390000001,17430.6874,36152.8199,18722.1325,18722.1325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
3773,CHINCHA.01.67882,4,2020-04-06,17929.1821,105637.81990000002,31913.7939,87708.63780000001,19642.024,55794.84390000001,17430.6874,36152.8199,18722.1325,18722.1325,0.0,0.0,0.0,0.0,0.0,0.0,6
3774,CHINCHA.01.67882,4,2020-04-07,16818.0943,122455.91420000001,17929.1821,105637.81990000002,31913.7939,87708.63780000001,19642.024,55794.84390000001,17430.6874,36152.8199,18722.1325,18722.1325,0.0,0.0,0.0,0.0,7
3775,CHINCHA.01.67882,4,2020-04-08,19826.6951,142282.6093,16818.0943,122455.91420000001,17929.1821,105637.81990000002,31913.7939,87708.63780000001,19642.024,55794.84390000001,17430.6874,36152.8199,18722.1325,18722.1325,0.0,0.0,8
3776,CHINCHA.01.67882,4,2020-04-11,27177.4491,169460.0584,19826.6951,142282.6093,16818.0943,122455.91420000001,17929.1821,105637.81990000002,31913.7939,87708.63780000001,19642.024,55794.84390000001,17430.6874,36152.8199,18722.1325,18722.1325,11
3777,CHINCHA.01.67882,4,2020-04-13,19401.2392,188861.29760000002,27177.4491,169460.0584,19826.6951,142282.6093,16818.0943,122455.91420000001,17929.1821,105637.81990000002,31913.7939,87708.63780000001,19642.024,55794.84390000001,17430.6874,36152.8199,13
3778,CHINCHA.01.67882,4,2020-04-14,16692.9763,205554.27390000003,19401.2392,188861.29760000002,27177.4491,169460.0584,19826.6951,142282.6093,16818.0943,122455.91420000001,17929.1821,105637.81990000002,31913.7939,87708.63780000001,19642.024,55794.84390000001,14
3779,CHINCHA.01.67882,4,2020-04-15,47731.2485,253285.52240000002,16692.9763,205554.27390000003,19401.2392,188861.29760000002,27177.4491,169460.0584,19826.6951,142282.6093,16818.0943,122455.91420000001,17929.1821,105637.81990000002,31913.7939,87708.63780000001,15
3780,CHINCHA.01.67882,4,2020-04-16,29076.1271,282361.6495,47731.2485,253285.52240000002,16692.9763,205554.27390000003,19401.2392,188861.29760000002,27177.4491,169460.0584,19826.6951,142282.6093,16818.0943,122455.91420000001,17929.1821,105637.81990000002,16
3781,CHINCHA.01.67882,4,2020-04-17,16045.2763,298406.9258,29076.1271,282361.6495,47731.2485,253285.52240000002,16692.9763,205554.27390000003,19401.2392,188861.29760000002,27177.4491,169460.0584,19826.6951,142282.6093,16818.0943,122455.91420000001,17
3782,CHINCHA.01.67882,4,2020-04-18,14411.0769,312818.0027,16045.2763,298406.9258,29076.1271,282361.6495,47731.2485,253285.52240000002,16692.9763,205554.27390000003,19401.2392,188861.29760000002,27177.4491,169460.0584,19826.6951,142282.6093,18
3783,CHINCHA.01.67882,4,2020-04-20,15369.8184,328187.8211,14411.0769,312818.0027,16045.2763,298406.9258,29076.1271,282361.6495,47731.2485,253285.52240000002,16692.9763,205554.27390000003,19401.2392,188861.29760000002,27177.4491,169460.0584,20
3784,CHINCHA.01.67882,4,2020-04-21,14756.0696,342943.8907,15369.8184,328187.8211,14411.0769,312818.0027,16045.2763,298406.9258,29076.1271,282361.6495,47731.2485,253285.52240000002,16692.9763,205554.27390000003,19401.2392,188861.29760000002,21
3785,CHINCHA.01.67882,4,2020-04-22,13439.517,356383.4077,14756.0696,342943.8907,15369.8184,328187.8211,14411.0769,312818.0027,16045.2763,298406.9258,29076.1271,282361.6495,47731.2485,253285.52240000002,16692.9763,205554.27390000003,22
3786,CHINCHA.01.67882,4,2020-04-23,10391.2532,366774.66089999996,13439.517,356383.4077,14756.0696,342943.8907,15369.8184,328187.8211,14411.0769,312818.0027,16045.2763,298406.9258,29076.1271,282361.6495,47731.2485,253285.52240000002,23
3787,CHINCHA.01.67882,4,2020-04-24,12440.0185,379214.67939999996,10391.2532,366774.66089999996,13439.517,356383.4077,14756.0696,342943.8907,15369.8184,328187.8211,14411.0769,312818.0027,16045.2763,298406.9258,29076.1271,282361.6495,24
3788,CHINCHA.01.67882,4,2020-04-25,20508.455,399723.1344,12440.0185,379214.67939999996,10391.2532,366774.66089999996,13439.517,356383.4077,14756.0696,342943.8907,15369.8184,328187.8211,14411.0769,312818.0027,16045.2763,298406.9258,25
3789,CHINCHA.01.67882,4,2020-04-27,17605.7819,417328.9163,20508.455,399723.1344,12440.0185,379214.67939999996,10391.2532,366774.66089999996,13439.517,356383.4077,14756.0696,342943.8907,15369.8184,328187.8211,14411.0769,312818.0027,27
3790,CHINCHA.01.67882,4,2020-04-28,15076.2577,432405.174,17605.7819,417328.9163,20508.455,399723.1344,12440.0185,379214.67939999996,10391.2532,366774.66089999996,13439.517,356383.4077,14756.0696,342943.8907,15369.8184,328187.8211,28
3791,CHINCHA.01.67882,4,2020-04-29,15486.4009,447891.5749,15076.2577,432405.174,17605.7819,417328.9163,20508.455,399723.1344,12440.0185,379214.67939999996,10391.2532,366774.66089999996,13439.517,356383.4077,14756.0696,342943.8907,29
3792,CHINCHA.01.67882,4,2020-04-30,12684.9786,460576.5535,15486.4009,447891.5749,15076.2577,432405.174,17605.7819,417328.9163,20508.455,399723.1344,12440.0185,379214.67939999996,10391.2532,366774.66089999996,13439.517,356383.4077,30
3793,CHINCHA.01.67882,5,2020-05-02,32044.1908,32044.1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3794,CHINCHA.01.67882,5,2020-05-04,28582.7217,60626.9125,32044.1908,32044.1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
3795,CHINCHA.01.67882,5,2020-05-05,44020.1638,104647.0763,28582.7217,60626.9125,32044.1908,32044.1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
3796,CHINCHA.01.67882,5,2020-05-06,34989.7748,139636.8511,44020.1638,104647.0763,28582.7217,60626.9125,32044.1908,32044.1908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
3797,CHINCHA.01.67882,5,2020-05-07,35242.3334,174879.1845,34989.7748,139636.8511,44020.1638,104647.0763,28582.7217,60626.9125,32044.1908,32044.1908,0.0,0.0,0.0,0.0,0.0,0.0,7
3798,CHINCHA.01.67882,5,2020-05-08,22554.6335,197433.818,35242.3334,174879.1845,34989.7748,139636.8511,44020.1638,104647.0763,28582.7217,60626.9125,32044.1908,32044.1908,0.0,0.0,0.0,0.0,8
3799,CHINCHA.01.67882,5,2020-05-09,30527.3396,227961.1576,22554.6335,197433.818,35242.3334,174879.1845,34989.7748,139636.8511,44020.1638,104647.0763,28582.7217,60626.9125,32044.1908,32044.1908,0.0,0.0,9
3800,CHINCHA.01.67882,5,2020-05-11,38585.2936,266546.4512,30527.3396,227961.1576,22554.6335,197433.818,35242.3334,174879.1845,34989.7748,139636.8511,44020.1638,104647.0763,28582.7217,60626.9125,32044.1908,32044.1908,11
3801,CHINCHA.01.67882,5,2020-05-12,28092.4375,294638.8887,38585.2936,266546.4512,30527.3396,227961.1576,22554.6335,197433.818,35242.3334,174879.1845,34989.7748,139636.8511,44020.1638,104647.0763,28582.7217,60626.9125,12
3802,CHINCHA.01.67882,5,2020-05-13,26593.2443,321232.13300000003,28092.4375,294638.8887,38585.2936,266546.4512,30527.3396,227961.1576,22554.6335,197433.818,35242.3334,174879.1845,34989.7748,139636.8511,44020.1638,104647.0763,13
3803,CHINCHA.01.67882,5,2020-05-14,26824.9497,348057.0827,26593.2443,321232.13300000003,28092.4375,294638.8887,38585.2936,266546.4512,30527.3396,227961.1576,22554.6335,197433.818,35242.3334,174879.1845,34989.7748,139636.8511,14
